well,562:562
A1,2.183
B1,0.24
C1,0.681
D1,0.717
E1,1.482
F1,1.547
G1,0.046
H1,0.044
A2,2.251
B2,0.231
C2,0.743
D2,0.753
E2,1.537
F2,1.526
G2,0.044
H2,0.046
A3,1.584
B3,0.108
C3,0.804
D3,0.936
E3,1.507
F3,1.741
G3,0.045
H3,0.044
A4,1.562
B4,0.107
C4,0.799
D4,0.951
E4,1.434
F4,1.795
G4,0.048
H4,0.047
A5,1.109
B5,0.087
C5,1.052
D5,1.252
E5,1.23
F5,1.007
G5,0.047
H5,0.046
A6,1.204
B6,0.091
C6,0.937
D6,1.39
E6,1.22
F6,1.029
G6,0.045
H6,0.045
A7,0.837
B7,0.548
C7,0.749
D7,0.958
E7,0.704
F7,0.988
G7,0.045
H7,0.046
A8,0.894
B8,0.549
C8,0.763
D8,1.031
E8,0.666
F8,1.061
G8,0.046
H8,0.045
A9,0.61
B9,0.926
C9,0.744
D9,1.187
E9,0.85
F9,0.047
G9,0.045
H9,0.046
A10,0.729
B10,1.058
C10,0.819
D10,1.324
E10,1.008
F10,0.049
G10,0.048
H10,0.048
A11,0.411
B11,0.596
C11,0.905
D11,1.403
E11,1.462
F11,0.046
G11,0.045
H11,0.047
A12,0.367
B12,0.6
C12,0.967
D12,1.555
E12,1.466
F12,0.045
G12,0.047
H12,0.045