sample.id,fragment.id,date.sampled,timepoint,metric,method,box,freezer,initials,notes
3,A16,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
4,A16,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
51,A16,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
52,A16,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
5,A20,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
6,A20,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
53,A20,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
54,A20,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
7,A31,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
8,A31,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
55,A31,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
56,A31,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
1,A7,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
2,A7,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
49,A7,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
50,A7,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
11,B20,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
12,B20,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
59,B20,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
60,B20,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
13,B25,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
14,B25,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
61,B25,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
62,B25,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
15,B34,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
16,B34,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
63,B34,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
64,B34,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
9,B9,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
10,B9,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
57,B9,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
58,B9,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
17,C1,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
18,C1,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
65,C1,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
66,C1,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
19,C19,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
20,C19,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
67,C19,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
68,C19,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
21,C26,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
22,C26,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
69,C26,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
70,C26,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
23,C30,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
24,C30,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
71,C30,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
72,C30,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
27,D13,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
28,D13,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
75,D13,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
76,D13,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
29,D26,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
30,D26,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
77,D26,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
78,D26,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
31,D30,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
32,D30,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
79,D30,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
80,D30,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
25,D4,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
26,D4,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
73,D4,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
74,D4,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
85,E20,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
86,E20,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
37,E20,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
38,E20,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
39,E31,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
40,E31,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
87,E31,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
88,E31,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
33,E5,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
34,E5,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
81,E5,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
82,E5,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
35,E8,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
36,E8,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
83,E8,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
84,E8,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
45,F17,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
46,F17,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
93,F17,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
94,F17,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
41,F2,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
42,F2,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
89,F2,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
90,F2,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
47,F22,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
48,F22,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
95,F22,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
96,F22,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,
43,F9,20221002,baseline,dna.rna,shield,1,Molec. -40C,AH,
44,F9,20221002,baseline,microbe,shield,1,Molec. -40C,AH,
91,F9,20221002,baseline,metabolomics,ln2,2,Molec. -40C,AH,
92,F9,20221002,baseline,dna.rna,ln2,2,Molec. -40C,AH,