Run,Light_Level,Light_Value,Date,Start.time,Stop.time,Percent,Notes
1,0,0,20221130,11:31,11:41,0,
1,1,108,20221130,11:45,11:55,10,
1,2,246,20221130,12:20,12:32,20,
1,3,376,20221130,12:33,12:43,30,
1,4,476,20221130,12:45,12:55,40,
1,5,603,20221130,12:59,13:10,50,
1,6,702,20221130,13:11,13:21,60,
1,7,791,20221130,13:22,12:32,70,
1,8,857,20221130,13:34,13:44,80,
1,9,931,20221130,13:45,14:04,90,
1,10,982,20221130,14:05,14:15,100,
1,11,989,20221130,14:17,14:32,110,
1,12,1022,20221130,14:33,14:45,120,